date,ticker,price
2024-01-01,NVDA,150.7155306823349
2024-01-02,NVDA,152.12105462020273
2024-01-03,NVDA,153.86105566763794
2024-01-04,NVDA,154.006548060496
2024-01-05,NVDA,154.2604780473161
2024-01-06,NVDA,154.2334595391406
2024-01-07,NVDA,153.4707015810049
2024-01-08,NVDA,153.23321808393433
2024-01-09,NVDA,153.98062736541246
2024-01-10,NVDA,154.97413063376166
2024-01-11,NVDA,154.45511828673125
2024-01-12,NVDA,154.39056924954994
2024-01-13,NVDA,155.27471809751793
2024-01-14,NVDA,155.26982910342375
2024-01-15,NVDA,155.2525164223386
2024-01-16,NVDA,154.77119689676448
2024-01-17,NVDA,154.28748841952574
2024-01-18,NVDA,152.6753657676577
2024-01-19,NVDA,152.41999194157836
2024-01-20,NVDA,150.44502608756562
